Site,Observed,Predicted
1825,5,15.549605521240796
1826,19,15.636110129790554
1827,14,15.787065093203301
1828,6,16.072289839352493
1839,20,14.716829646672998
1840,6,15.18373102625461
1841,14,14.91367715895979
1842,20,14.494898760594488
1843,10,14.755891145037124
1844,16,15.011837438024756
1850,11,14.321879030600178
1851,5,13.988790264372588
1852,5,13.910186576549425
1853,16,13.883440590491775
1854,6,13.917865591240101
1861,11,14.727712342378164
1862,13,14.970622123793484
1863,9,15.068132782197454
1864,17,15.09427486499307
1865,11,15.280741473114624
1872,1,16.623417455172252
1873,14,16.561109572858914
1874,28,16.96759104674575
1875,12,17.03108789731413
1876,2,16.621810477567465
1877,19,14.57789273211288
1878,1,14.301543363845655
1879,16,14.291207449590235
1880,23,14.331889654577582
1881,14,14.521959215594949
1888,11,15.184046412548104
1889,11,14.908650302142984
1890,11,14.625927447442434
1891,23,14.93479949795994
1897,23,15.323632130148425
1898,26,15.431416159976648
1899,12,14.873085130283584
1900,15,15.2115451113831
1901,17,14.918111720491027
1906,3,14.682624870574717
1907,17,15.077220630302586
1908,13,14.716786400843962
1909,23,14.750272509738528
1910,19,14.76715509720965
1911,12,14.646740581999119
1918,2,14.440772351620751
1919,7,14.351317279090495
1920,13,14.62524030985613
1921,20,14.373201897092216
1922,9,14.384295032157814
1923,11,14.665884583220564
1930,22,14.53474058776897
1931,17,14.34334828156891
1932,15,15.059581435296561
1933,21,15.116034548927551
1934,19,15.219555842711856
1935,12,15.298503394004648
1936,19,15.086670800024235
1937,7,14.367794357079141
1938,13,14.709915342249998
1939,13,14.545141876376224
1955,2,15.360651316301738
1956,17,15.595971070417589
1957,11,15.542827231737567
1958,13,15.513256467941618
1959,17,15.577571748926177
1987,20,15.049847368340659
1988,8,14.915397688155123
1989,14,15.535430553890148
1990,16,14.924239741332267
1991,4,15.233080969788226
1992,18,15.064962586000027
1993,19,14.633749429806482
1994,6,14.637276531278827
1995,14,14.81749880788089
1996,21,14.625592408412766
1997,8,14.860321352582478
1998,21,14.93028794763173
1999,20,17.246772483609558
